Feature,Importance
cat__model_fiat avventura,5.655492865345607e-08
cat__model_maruti esteem,5.5053579705923193e-08
cat__model_toyota corolla,4.499287641808088e-08
cat__model_maruti ciaz s,4.233029929006089e-08
cat__state_dadra and nagar haveli,4.045836854306658e-08
cat__model_maruti baleno rs,3.95866618988927e-08
cat__model_fiat linea classic,3.897338230002865e-08
cat__model_hyundai getz,3.638327799393611e-08
cat__model_mahindra bolero neo,3.542552853792806e-08
cat__model_toyota qualis,3.4771231793934554e-08
cat__model_tata indigo marina,3.4209893373514976e-08
cat__model_fiat avventura urban cross,3.297837717977417e-08
cat__model_maruti super carry,3.255712687026995e-08
cat__model_fiat punto abarth,3.017826456485151e-08
cat__model_mahindra willys,2.871879757217133e-08
cat__model_maruti ertiga tour,2.5273468955113783e-08
cat__model_maruti eeco cargo,2.4548089863841043e-08
cat__state_manipur,2.4236567021284513e-08
cat__model_porsche 718,2.2678637053953856e-08
cat__model_fiat palio,2.2219983489378256e-08
cat__model_ashok leyland stile,2.149389661179286e-08
cat__model_mitsubishi cedia,2.136819691861344e-08
cat__Tyre Type_tube,1.9393158925573112e-08
cat__model_maruti 800,1.8458693783526028e-08
cat__model_fiat punto pure,1.808071246362526e-08
cat__model_mahindra bolero camper,1.580103428511921e-08
cat__model_tata indica xeta,1.5616380908355143e-08
cat__model_tata sumo,1.5419229238700023e-08
cat__model_mercedes-benz g,1.5135386158496114e-08
cat__model_mahindra logan,1.445221644287702e-08
cat__oem_icml,1.2677336544964406e-08
cat__model_mitsubishi lancer,1.192222945454035e-08
cat__state_nagaland,1.1804046994290776e-08
cat__model_maruti zen,1.1386689584095826e-08
cat__model_mahindra e2o,1.0848086702789197e-08
cat__model_icml extreme,9.342819753487121e-09
cat__model_ford classic,7.1938454380281084e-09
cat__model_tata venture,5.635883404000324e-09
cat__oem_ashok leyland,5.371330645390606e-09
cat__model_premier rio,5.183406329019959e-09
cat__model_ambassador,4.887691685126127e-09
cat__model_mahindra jeep,4.29670342831325e-09
cat__model_mahindra supro,3.936355235736015e-09
cat__model_fiat palio nv,3.747668021271625e-09
cat__model_ford fusion,3.1788415402389613e-09
cat__model_maruti alto 2021,2.91509435852152e-09
cat__oem_bajaj,2.875071235435235e-09
cat__oem_hindustan motors,1.8956844820141003e-09
cat__model_fiat adventure,1.690771931563915e-09
cat__oem_opel,1.39121411619406e-09
cat__model_nissan x-trail,9.688726981019381e-10
cat__model_maruti versa,9.562119485631103e-10
cat__model_force gurkha,8.332932373884967e-10
cat__oem_premier,1.0064372017526361e-10
cat__model_icml rhino rx,9.746165132116588e-11
cat__model_opelcorsa,3.2114765069652346e-11
cat__model_mitsubishi montero,1.8028829426538906e-13
cat__model_bajaj re60,0.0
cat__oem_aston martin,0.0
